Brand,Name,Year,Model,Transmission,Kms,Owner,Fuel Type,Registration,EMI,Price,State
Maruti,Maruti Swift Dzire,2016,VXI AMT,Automatic,45471,2,Petrol,MH-02,11460,586199,Maharashtra
Maruti,Maruti Swift,2018,VXI,Manual,36492,1,Petrol,MH-47,11617,594199,Maharashtra
Maruti,Maruti Celerio,2015,VXI AMT,Automatic,10138,1,Petrol,MH-02,8223,420599,Maharashtra
Maruti,Maruti Alto K10,2015,VXI,Manual,31065,1,Petrol,MH-47,5630,287999,Maharashtra
Maruti,Maruti New  Wagon-R,2021,1.0 Lxi (o) cng,Manual,45873,2,Petrol + CNG,MH-04,12250,626599,Maharashtra
Toyota,Toyota Corolla Altis,2016,G,Manual,80440,1,Petrol,MH-43,15883,845799,Maharashtra
Volkswagen,Volkswagen Polo,2014,GT TSI 1.2 PETROL AT,Automatic,41194,1,Petrol,MH-01,11136,569599,Maharashtra
Maruti,Maruti Dzire,2018,VXI,Manual,41059,1,Petrol,MH-48,11593,592999,Maharashtra
Hyundai,Hyundai AURA,2022,S CNG,Manual,9215,1,Petrol + CNG,MH-46,16689,888699,Maharashtra
Volkswagen,Volkswagen Vento,2021,Highline 1.0 TSI MT,Manual,8689,1,Petrol,MH-46,20432,1087999,Maharashtra
Maruti,Maruti Celerio,2016,VXI AMT,Automatic,15376,1,Petrol,MH-01,8450,432199,Maharashtra
Maruti,Maruti Wagon R 1.0,2012,VXI,Manual,61548,1,Petrol,MH-01,5570,284899,Maharashtra
Toyota,Toyota Corolla Altis,2018,G,Manual,53788,1,Petrol,MH-01,19814,1055099,Maharashtra
Tata,Tata TIGOR,2021,Revotron XE,Manual,6114,1,Petrol,MH-46,12510,639899,Maharashtra
Maruti,Maruti Swift,2016,ZXI,Manual,81517,1,Petrol,MH-43,9857,504199,Maharashtra
Maruti,Maruti Swift,2017,VXI,Manual,48040,1,Petrol,MH-43,9582,490099,Maharashtra
MG,MG HECTOR,2019,SHARP 2.0 DIESEL,Manual,39152,1,Diesel,MH-03,28967,1542499,Maharashtra
Maruti,Maruti Ertiga,2014,VXI CNG,Manual,86803,1,Petrol + CNG,MH-05,12987,664299,Maharashtra
Volkswagen,Volkswagen Polo,2020,COMFORTLINE PLUS 1.0,Manual,9732,1,Petrol,MH-47,13546,692899,Maharashtra
Hyundai,Hyundai i10,2016,MAGNA 1.1 IRDE2,Manual,13687,1,Petrol,MH-03,7576,387499,Maharashtra
Tata,Tata Tiago,2018,XE 1.2 REVOTRON,Manual,17837,1,Petrol,MH-03,8983,459499,Maharashtra
